x_px,y_px,H_star,B_star,U_H_V,U_B_V
103.0,32.0,0.019801980198019802,0.68,0.015841584158415842,0.054400000000000004
160.0,32.0,0.5841584158415841,0.68,0.4673267326732673,0.054400000000000004
101.0,33.0,0.0,0.67,0.0,0.0536
102.0,33.0,0.009900990099009901,0.67,0.007920792079207921,0.0536
104.0,33.0,0.0297029702970297,0.67,0.023762376237623763,0.0536
159.0,33.0,0.5742574257425742,0.67,0.45940594059405937,0.0536
101.0,34.0,0.0,0.66,0.0,0.05280000000000001
159.0,34.0,0.5742574257425742,0.66,0.45940594059405937,0.05280000000000001
160.0,34.0,0.5841584158415841,0.66,0.4673267326732673,0.05280000000000001
100.0,35.0,-0.009900990099009901,0.65,-0.007920792079207921,0.052000000000000005
159.0,35.0,0.5742574257425742,0.65,0.45940594059405937,0.052000000000000005
160.0,35.0,0.5841584158415841,0.65,0.4673267326732673,0.052000000000000005
96.0,36.0,-0.04950495049504951,0.64,-0.03960396039603961,0.0512
98.0,36.0,-0.0297029702970297,0.64,-0.023762376237623763,0.0512
99.0,36.0,-0.019801980198019802,0.64,-0.015841584158415842,0.0512
160.0,36.0,0.5841584158415841,0.64,0.4673267326732673,0.0512
97.0,37.0,-0.039603960396039604,0.63,-0.031683168316831684,0.0504
98.0,37.0,-0.0297029702970297,0.63,-0.023762376237623763,0.0504
99.0,37.0,-0.019801980198019802,0.63,-0.015841584158415842,0.0504
159.0,37.0,0.5742574257425742,0.63,0.45940594059405937,0.0504
96.0,38.0,-0.04950495049504951,0.62,-0.03960396039603961,0.0496
158.0,38.0,0.5643564356435643,0.62,0.45148514851485144,0.0496
95.0,39.0,-0.0594059405940594,0.61,-0.047524752475247525,0.0488
158.0,39.0,0.5643564356435643,0.61,0.45148514851485144,0.0488
159.0,39.0,0.5742574257425742,0.61,0.45940594059405937,0.0488
94.0,40.0,-0.06930693069306931,0.6,-0.05544554455445545,0.048
159.0,40.0,0.5742574257425742,0.6,0.45940594059405937,0.048
93.0,41.0,-0.07920792079207921,0.59,-0.06336633663366337,0.0472
94.0,41.0,-0.06930693069306931,0.59,-0.05544554455445545,0.0472
158.0,41.0,0.5643564356435643,0.59,0.45148514851485144,0.0472
93.0,42.0,-0.07920792079207921,0.58,-0.06336633663366337,0.0464
89.0,43.0,-0.1188118811881188,0.57,-0.09504950495049505,0.045599999999999995
92.0,43.0,-0.0891089108910891,0.57,-0.07128712871287128,0.045599999999999995
93.0,43.0,-0.07920792079207921,0.57,-0.06336633663366337,0.045599999999999995
154.0,43.0,0.5247524752475248,0.57,0.41980198019801984,0.045599999999999995
157.0,43.0,0.5544554455445545,0.57,0.4435643564356436,0.045599999999999995
90.0,44.0,-0.10891089108910891,0.56,-0.08712871287128714,0.044800000000000006
91.0,44.0,-0.09900990099009901,0.56,-0.07920792079207922,0.044800000000000006
92.0,44.0,-0.0891089108910891,0.56,-0.07128712871287128,0.044800000000000006
155.0,44.0,0.5346534653465347,0.56,0.42772277227722777,0.044800000000000006
156.0,44.0,0.5445544554455446,0.56,0.4356435643564357,0.044800000000000006
89.0,45.0,-0.1188118811881188,0.55,-0.09504950495049505,0.044000000000000004
90.0,45.0,-0.10891089108910891,0.55,-0.08712871287128714,0.044000000000000004
155.0,45.0,0.5346534653465347,0.55,0.42772277227722777,0.044000000000000004
88.0,46.0,-0.12871287128712872,0.54,-0.10297029702970298,0.0432
154.0,46.0,0.5247524752475248,0.54,0.41980198019801984,0.0432
154.0,47.0,0.5247524752475248,0.53,0.41980198019801984,0.0424
155.0,47.0,0.5346534653465347,0.53,0.42772277227722777,0.0424
87.0,48.0,-0.13861386138613863,0.52,-0.1108910891089109,0.041600000000000005
154.0,48.0,0.5247524752475248,0.52,0.41980198019801984,0.041600000000000005
155.0,48.0,0.5346534653465347,0.52,0.42772277227722777,0.041600000000000005
86.0,49.0,-0.1485148514851485,0.51,-0.1188118811881188,0.0408
154.0,49.0,0.5247524752475248,0.51,0.41980198019801984,0.0408
155.0,49.0,0.5346534653465347,0.51,0.42772277227722777,0.0408
86.0,50.0,-0.1485148514851485,0.5,-0.1188118811881188,0.04
154.0,50.0,0.5247524752475248,0.5,0.41980198019801984,0.04
155.0,50.0,0.5346534653465347,0.5,0.42772277227722777,0.04
85.0,51.0,-0.15841584158415842,0.49,-0.12673267326732673,0.0392
86.0,51.0,-0.1485148514851485,0.49,-0.1188118811881188,0.0392
155.0,51.0,0.5346534653465347,0.49,0.42772277227722777,0.0392
85.0,52.0,-0.15841584158415842,0.48,-0.12673267326732673,0.0384
154.0,52.0,0.5247524752475248,0.48,0.41980198019801984,0.0384
84.0,53.0,-0.16831683168316833,0.47,-0.13465346534653466,0.0376
85.0,53.0,-0.15841584158415842,0.47,-0.12673267326732673,0.0376
153.0,53.0,0.5148514851485149,0.47,0.4118811881188119,0.0376
84.0,54.0,-0.16831683168316833,0.46,-0.13465346534653466,0.0368
85.0,54.0,-0.15841584158415842,0.46,-0.12673267326732673,0.0368
153.0,54.0,0.5148514851485149,0.46,0.4118811881188119,0.0368
154.0,54.0,0.5247524752475248,0.46,0.41980198019801984,0.0368
80.0,55.0,-0.2079207920792079,0.45,-0.16633663366336635,0.036000000000000004
83.0,55.0,-0.1782178217821782,0.45,-0.14257425742574256,0.036000000000000004
84.0,55.0,-0.16831683168316833,0.45,-0.13465346534653466,0.036000000000000004
85.0,55.0,-0.15841584158415842,0.45,-0.12673267326732673,0.036000000000000004
154.0,55.0,0.5247524752475248,0.45,0.41980198019801984,0.036000000000000004
81.0,56.0,-0.19801980198019803,0.44,-0.15841584158415845,0.0352
82.0,56.0,-0.18811881188118812,0.44,-0.15049504950495052,0.0352
153.0,56.0,0.5148514851485149,0.44,0.4118811881188119,0.0352
81.0,57.0,-0.19801980198019803,0.43,-0.15841584158415845,0.0344
81.0,58.0,-0.19801980198019803,0.42,-0.15841584158415845,0.0336
152.0,58.0,0.504950495049505,0.42,0.403960396039604,0.0336
80.0,59.0,-0.2079207920792079,0.41,-0.16633663366336635,0.032799999999999996
81.0,59.0,-0.19801980198019803,0.41,-0.15841584158415845,0.032799999999999996
151.0,59.0,0.49504950495049505,0.41,0.39603960396039606,0.032799999999999996
80.0,60.0,-0.2079207920792079,0.4,-0.16633663366336635,0.032
81.0,60.0,-0.19801980198019803,0.4,-0.15841584158415845,0.032
150.0,60.0,0.48514851485148514,0.4,0.38811881188118813,0.032
80.0,61.0,-0.2079207920792079,0.39,-0.16633663366336635,0.031200000000000002
79.0,62.0,-0.21782178217821782,0.38,-0.17425742574257427,0.0304
149.0,62.0,0.4752475247524752,0.38,0.3801980198019802,0.0304
149.0,63.0,0.4752475247524752,0.37,0.3801980198019802,0.0296
76.0,64.0,-0.24752475247524752,0.36,-0.19801980198019803,0.0288
