image,hc_negative_div,hc_positive_div,br_positive_div,br_negative_div,h_bias_div,br_bias_div,hc_half_span_div,br_half_span_div,h_extreme_positive_div,b_extreme_positive_div,h_extreme_negative_div,b_extreme_negative_div,grid_origin_x_px,grid_origin_y_px,x_pixels_per_div,y_pixels_per_div
IMG_0113.jpg,-0.582278,1.506329,1.265823,-1.265823,0.462025,0.000000,1.044304,1.265823,2.949367,1.291139,0.886076,2.481013,272.00,308.00,79.00,79.00
IMG_0114.jpg,-0.075949,1.279747,0.569620,-2.683544,0.601899,-1.056962,0.677848,1.626582,0.506329,-2.658228,0.810127,2.949367,272.00,308.00,79.00,79.00
IMG_0115.jpg,0.265823,1.139241,-0.594937,-2.101266,0.702532,-1.348101,0.436709,0.753165,0.303797,-1.886076,1.240506,2.000000,272.00,308.00,79.00,79.00
IMG_0116.jpg,0.379747,0.617722,nan,nan,0.498734,nan,0.118987,nan,0.582278,-0.088608,0.531646,0.379747,272.00,308.00,79.00,79.00
IMG_0117.jpg,0.000000,1.278481,0.063291,-1.632911,0.639241,-0.784810,0.639241,0.848101,0.379747,-1.265823,1.113924,1.556962,272.00,308.00,79.00,79.00
IMG_0118.jpg,-0.126582,1.075949,0.797468,-2.227848,0.474684,-0.715190,0.601266,1.512658,0.379747,-2.012658,0.658228,2.379747,272.00,308.00,79.00,79.00
IMG_0119.jpg,0.202532,0.949367,-0.594937,-2.215190,0.575949,-1.405063,0.373418,0.810127,0.278481,-2.151899,0.962025,2.202532,272.00,308.00,79.00,79.00
IMG_0120.jpg,-0.468354,1.455696,2.177215,1.455696,0.493671,1.816456,0.962025,0.360759,0.632911,-2.772152,0.367089,3.037975,272.00,308.00,79.00,79.00
IMG_0121.jpg,0.936709,1.911392,-1.336709,-2.081013,1.424051,-1.708861,0.487342,0.372152,0.506329,-2.037975,-1.670886,-2.050633,272.00,308.00,79.00,79.00
IMG_0122.jpg,0.278481,0.860759,-1.569620,-2.227848,0.569620,-1.898734,0.291139,0.329114,-0.126582,-2.367089,0.797468,2.620253,272.00,308.00,79.00,79.00
IMG_0123.jpg,0.202532,0.810127,-0.645570,-1.924051,0.506329,-1.284810,0.303797,0.639241,0.265823,-1.746835,0.911392,2.278481,272.00,308.00,79.00,79.00
